Unnamed: 0,Complex,E12,smiles,split
33,ELEWUO,-0.17,Cl[Fe+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1cccc(I)n31,train
34,FAQSAU,0.41,Cl[Co+2]12(Cl)(O=C(N(C(C)C)C(C)C)c3ccccn13)O=C(N(C(C)C)C(C)C)c1ccccn21,train
35,FIJTIC,0.33,CCN1C=CN2=C1N=N(c1ccc(C)cc1)[Fe+2]12(N=C=S)(N=C=S)N2=C(N=N1c1ccc(C)cc1)N(CC)C=C2,train
36,GAQMOA,0.48,Cc1ccc2OC3=N(c2c1)[Mn+3]12(Oc4ccccc34)(Oc3ccccc3C3=N1c1cc(C)ccc1O3)Oc1ccccc1C1=N2c2cc(C)ccc2O1,train
37,MADVET,0.28,O1c2ccccc2C=N2CC[NH]3CC[NH]4CCN5=Cc6ccccc6O[Mn+3]12345,train
38,MAPSEC,0.07,COC(=O)C1=CC2=C(C=C1C(=O)OC)C1=C(c3ccccc3)C3=N4C(=C(c5ccccc5)C5=C6C=C(C(=O)OC)C(=CC6=C6N5[Fe+2]54(N1C2=C(c1ccccc1)C1=N5C(=C6c2ccccc2)C2=C1C=C(C(=O)OC)C(=C2)C(=O)OC)(n1ccccc1)n1ccccc1)C(=O)OC)C1=C3C=C(C(=O)OC)C(=C1)C(=O)OC,test
39,MIKKEX,0.79,Cl[Mn+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1ccccn31,train
40,MOHFUM,0.123,[OH2][Co+2]123(Cl)N(=Cc4ccccn14)CC(C)(C)CN2=Cc1ccccn31,train
41,MOHGAT,-0.017,CC1(C)CN2=Cc3ccccn3[Co+2]32(N=C=S)(N=C=S)N(=Cc2ccccn32)C1,train
42,NEBYOL,0.82,FC(F)(F)S(=O)(=O)O[Fe+2]123(OS(=O)(=O)C(F)(F)F)n4ccccc4CN41Cc1ccccc1C4C1c4ccccc4CN21Cc1ccccn31,test
43,NEBYUR,0.81,CC(C)[Si](C(C)C)(C(C)C)c1ccc2CN34Cc5ccccc5C3C3c5ccccc5CN53Cc3ccc(cn3[Fe+2]45(OS(=O)(=O)C(F)(F)F)(OS(=O)(=O)C(F)(F)F)n2c1)[Si](C(C)C)(C(C)C)C(C)C,train
44,NEKKUM,-0.71,Cl[Fe+2]123(N4C=CC=CC4=C4C=CC=CN41)N1C(=CC=C1C[P]2(C1CCCCC1)C1CCCCC1)C[P]3(C1CCCCC1)C1CCCCC1,train
45,ADEGIB,0.23,C[OH][Co+3]1234Oc5c(CN1(Cc1cc(cc(c1O2)C(C)(C)C)C(C)(C)C)c1ccccc1N3=Cc1cc(cc(c1O4)C(C)(C)C)C(C)(C)C)cc(cc5C(C)(C)C)C(C)(C)C,train
46,AQODAL,-0.33,CC(C)(C)c1cc2N3c4cccc5cccn(c45)[Mn+4]453(Oc2c(c1)C(C)(C)C)Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)N4c1cccc2cccn5c12,train
47,BUJGOD,0.373,Cl[Fe+3]1234Oc5ccccc5C[NH]1CC(C)(C[NH]2Cc1ccccc1O3)c1ccccn41,train
48,CEBMUS,0.115,Cl[Fe+3]123(Cl)[NH](CC(C)[NH]1Cc1ccccn21)Cc1ccccn31,train
49,CIBDIB,0.11,COc1cccc2C=O[Co+2]34(Oc12)(Oc1c(OC)cccc1C=O3)n1ccccc1c1ccccn41,train
50,FAQFIP,0.82,[cH]1cc(ccn1[Cu+2]12(n3[cH]cc(cc3)C(=O)N(C(C)C)C(C)C)(O[N](=O)O1)(O[N](=O)O2)([OH2])[O])C(=O)N(C(C)C)C(C)C,train
51,NIZBED,-0.0069999999999999,N#Cc1cc2S[Ni+2]3(Sc4cc(C#N)c(cc4[S-]3)C#N)[S-]c2cc1C#N,test
52,BOFWUO,-0.1,Cc12c3(C)c4(C)c56SSSc78c9(C)c%10(C)c%11(C)c7(C)[Fe+]134589%10%11c26C,train
53,BOFQOC,-0.16,C1CCC2=C(C1)SC(S2)=C(C=C1SC2=C(SCCS2)S1)c12c3c4c5c1[Fe+]16782345c2c1c6c7(c82)C(C=C1SC2=C(SCCS2)S1)=C1SC2=C(CCCC2)S1,train
54,BOFZUR,-0.07,C1CSC2=C(S1)SC(S2)=C(C=C1Sc2ccccc2S1)c12c3c4c5c1[Fe+]16782345c2c1c6c7c82,train
55,BOGBAA,-0.1,C1CSC2=C(S1)SC(S2)=CC(=C1SC2=C(SCCS2)S1)c12c3c4c5c1[Fe+]16782345c2c1c6c7c82,train
56,BOFZIF,0.02,O=CC(=C1Sc2ccccc2S1)c12c3c4c5c1[Fe+]16782345c2c1c6c7(c82)C(C=O)=C1Sc2ccccc2S1,train
57,TOXSOO,0.293,O=C1S[Ni+2]2(S1)[P](CC[P]2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,train
58,MOHHIC,0.07,NC1=[NH][Cu+2]2(Oc3ccccc3C=N2N1)N=C=S,train
59,MOHHOI,-0.18,NC1=[NH][Cu+2]2(Oc3ccccc3C=N2N1)N=[N+]=[N-],train
60,NIHNEX,1.019,CC(=O)C1=C[NH]2C3CCCCC3[NH]3C=C(C(C)=O)C(=O[Ni+3]23O=C1C)C,test
61,PIMROS,0.69,N#CC1=C(S[Ni+3]2(S1)SC(=C([S-]2)C#N)C#N)C#N,test
