smiles,pka_values
OC(=O)c1ccccn1,"0.95, 5.21"
OC(=O)c1cccnc1C(O)=O,"2.36, 4.72"
CNC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2,"7.01, 9.78"
CC(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(O)=O,"3.95, 8.29"
CCC(C(O)=O)C(O)=O,"2.77, 5.46"
NCCc1ccncc1,"4.98, 9.37"
NC[C@H](O)c1ccc(O)cc1,"8.8, 9.88"
NCCS,"8.21, 10.73"
N[C@@H](CC(N)=O)C(O)=O,"2.16, 8.73"
NCc1cccnc1,"3.71, 8.63"
NCc1ccncc1,"4.05, 8.3"
CN1CCN2CCN(C)CCN(CC1)CCN(C)CC2,"10.0, 11.8"
NCCc1c[nH]c(S)n1,"9.12, 11.62"
NCCc1ccc(O)cc1,"9.43, 10.52"
NCCc1cccc(O)c1,"9.34, 10.47"
NCCc1ccccn1,"3.9, 9.55"
NCCc1cccnc1,"4.64, 9.44"
NCCCCc1ccncc1,"5.81, 10.18"
NCCCN,"8.78, 10.54"
COC(=O)C(N)CCCCN,"7.19, 10.25"
NCCNC(=O)C(=O)NCCN,"8.45, 9.23"
NCCCNC(=O)C(=O)NCCCN,"9.41, 10.13"
NCCCc1ccccn1,"4.98, 10.1"
COC(=O)C(N)Cc1ccc(O)cc1,"7.09, 9.89"
CNCC(=O)NCC(O)=O,"3.0, 8.44"
CNCCCNC,"8.81, 10.64"
CNCCNC,"7.04, 10.05"
CNCCSCCNC,"8.94, 9.91"
CNCCSCCOCCSCCNC,"9.06, 9.84"
NCCCCc1ccccn1,"5.56, 10.3"
NCCCCc1cccnc1,"5.52, 10.16"
OC(=O)c1cccc(Br)c1C(O)=O,"2.37, 4.35"
OC(=O)c1cccc(O)c1,"3.99, 9.62"
OC(=O)c1ccc(Br)cc1C(O)=O,"2.5, 4.6"
OC(=O)c1ccc(O)cc1,"4.37, 8.98"
OC(=O)c1ccc(cc1)C(O)=O,"3.38, 4.15"
N[C@@H](CO)C(=O)NCC(O)=O,"3.15, 7.34"
N[C@@H](CO)C(O)=O,"2.16, 9.05"
N[C@@H](CCO)C(O)=O,"2.24, 9.28"
N[C@@H](CC[S](O)(=O)=O)C(O)=O,"2.11, 8.93"
CN1CCN2CCNCCN(CC1)CCN(C)CC2,"9.05, 12.5"
N[C@@H](CCC(N)=O)C(O)=O,"2.19, 9.0"
N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O,"3.39, 7.47"
Nc1ccc(cc1)C(O)=O,"2.5, 4.69"
Nc1ccc(cc1C(O)=O)[S](O)(=O)=O,"1.6, 4.29"
Nc1ccc(cc1N)C(O)=O,"3.69, 4.75"
OC(=O)CSCCSCC(O)=O,"3.2, 4.0"
OC(=O)c1cccc(c1)C(O)=O,"3.3, 4.38"
OC(=O)Cc1ccc(O)cc1,"4.25, 9.88"
N[C@@H](Cc1ccccc1)C(O)=O,"2.18, 9.09"
Nc1cccc(c1)C(O)=O,"3.14, 4.55"
N[C@H](CO)Cc1ccc(O)cc1,"8.94, 9.98"
O=C1CC(=O)NCCCNCCCNCCCN1,"7.93, 9.58"
N[C@@H](Cc1ccc(O)cc1)C(N)=O,"7.42, 9.83"
N[C@@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NCC(=O)NCC(O)=O,"3.11, 7.75"
N[C@@H](Cc1ccccc1)C(=O)NCC(O)=O,"3.07, 7.48"
N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(O)=O,"3.52, 7.13"
N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(O)=O,"3.26, 7.27"
OC(=O)c1cccc(n1)C(O)=O,"2.07, 4.66"
OC(=O)c1ccccc1C(O)=O,"2.76, 5.0"
OC(=O)c1ccc2ccccc2n1,"1.9, 4.77"
CC(CC(O)=O)C(O)=O,"3.88, 5.35"
CN(CC(O)=O)C(=O)CNC(=O)CNC(=O)CN,"3.04, 7.92"
Nc1ccccc1C(O)=O,"2.01, 4.78"
Nc1ccccc1O,"4.74, 9.87"
CN1CCC(S)CC1,"8.33, 10.35"
CN1CCN(C)CCN(C)CCN(C)CC1,"8.95, 10.07"
OCC(S)CS,"8.63, 10.65"
CN(CC(=O)NCC(=O)NCC(O)=O)C(=O)CN,"3.35, 8.28"
CC[C@H](C)[C@H](NC(=O)[C@H](N)CC(C)C)C(O)=O,"3.06, 8.09"
CN1CCN2CCCSCCCN(CC1)CCN(C)CC2,"8.78, 11.91"
CN(CC(=O)NCC(O)=O)C(=O)CNC(=O)CN,"3.34, 7.97"
CN(CC(O)=O)C(=O)CNC(=O)CN,"2.9, 7.98"
CCCCC(C(O)=O)C(O)=O,"2.81, 5.49"
CCC(N)C(O)=O,"2.3, 9.63"
OC(=O)c1cc(ccc1O)[N+]([O-])=O,"1.94, 9.9"
OC(=O)Cc1cccc(O)c1,"4.17, 9.87"
OC(=O)\C=C/C(O)=O,"1.75, 5.925"
OC(=O)C[Se]CC(O)=O,"3.31, 4.34"
OC(=O)c1c(O)cccc1[N+]([O-])=O,"1.99, 9.04"
CCCC(C(O)=O)C(O)=O,"2.84, 5.45"
OC(=O)C(CC=C)C(O)=O,"2.63, 5.24"
OC(=O)C(CCC=C)C(O)=O,"2.74, 5.35"
OC(=O)C(CCCC=C)C(O)=O,"2.77, 5.37"
CCOC(=O)[C@@H](N)CS,"6.55, 8.96"
CCOC(=O)[C@@H](N)Cc1ccc(O)cc1,"7.21, 9.68"
OC(=O)C1(CCCC1)C(O)=O,"3.07, 5.79"
OC(=O)C1(CCCCC1)C(O)=O,"3.3, 5.7"
OC(=O)/C=C/C(O)=O,"2.84, 4.09"
OC(=O)/C=C/c1ccccn1,"2.83, 4.56"
OC(=O)C(=C)O[P](O)(O)=O,"3.45, 6.244999999999999"
OC(=O)C(=Cc1ccccc1)C(O)=O,"2.11, 4.77"
OC(=O)C(=O)C(O)=O,"1.82, 3.52"
OC(=O)C(C(O)=O)c1ccccc1,"2.34, 5.1"
OC(=O)C(O)=O,"1.2, 3.85"
OC(=O)C1(CCC1)C(O)=O,"2.94, 5.47"
Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,"4.05, 7.114"
OC(=O)CCc1ccc(O)cc1,"4.39, 10.03"
OC(=O)CCc1cccc(O)c1,"4.4, 9.91"
OC(=O)CN(CC(O)=O)CC(=O)c1sccc1,"2.0, 7.46"
CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(O)=O,"3.42, 7.78"
OC(=O)CCC(O)=O,"4.02, 5.275"
OC(=O)CCCC(O)=O,"4.19, 5.06"
OC(=O)CCCCC(O)=O,"4.26, 5.04"
OC(=O)CCCCCC(O)=O,"4.31, 5.08"
OC(=O)CC(=C)C(O)=O,"3.66, 5.195"
OC(=O)CC(=O)C(O)=O,"2.26, 3.9"
OC(=O)CS,"3.48, 10.11"
OC(=O)CSCC(O)=O,"3.14, 4.15"
CCCC[C@H](N)C(O)=O,"2.31, 9.68"
CCC[C@H](N)C(O)=O,"2.31, 9.65"
CCSC[P](O)(O)=O,"1.8, 7.06"
CC[C@H](C)[C@@H](N)C(O)=O,"2.2, 9.62"
CC[C@H](C)[C@H](N)C(=O)NCC(O)=O,"3.04, 7.96"
CC[C@H](C)[C@H](N)C(O)=O,"2.26, 9.6"
OC(=O)CNC(=O)[C@@H]1CCCN1,"3.1, 8.91"
OC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CCCN2,"3.17, 9.15"
OC(=O)CNC(S)=S,"3.75, 6.67"
OC(=O)CN(CC(O)=O)c1ccccc1,"2.4, 5.02"
OC(=O)CNc1ccc(cc1)[S](O)(=O)=O,"1.8, 8.66"
OC(=O)COCC(O)=O,"2.82, 3.9699999999999998"
OC(=O)C[Te]CC(O)=O,"3.26, 4.77"
CCNCCNCC,"7.28, 10.16"
CCCCCC(C(O)=O)C(O)=O,"2.8, 5.54"
OC(=O)CN(CCN[S](=O)(=O)c1ccc(CCBr)cc1)CC(O)=O,"2.15, 7.75"
OC(=O)CN(CCN[S](=O)(=O)c1ccccc1)CC(O)=O,"2.1, 7.82"
OC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1,"3.27, 8.67"
Cc1cccc(n1)C(O)=O,"1.2, 5.86"
C[C@@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.26, 7.95"
C[C@@H](N)C(=O)N[C@H](C)C(=O)N[C@H](C)C(O)=O,"3.28, 7.95"
CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@@H](CC(C)C)C(O)=O,"3.33, 7.81"
CC(C)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CN)C(O)=O,"3.42, 8.03"
CC(C)C[C@H](N)C(=O)NCC(=O)NCC(O)=O,"3.23, 7.75"
Cc1ccc(O)cn1,"5.44, 8.96"
C[P](O)(O)=O,"2.16, 7.49"
Cc1ccc2cccc(O)c2n1,"5.65, 10.04"
CC(C)(NC(=O)CNC(=O)CN)C(=O)NCC(O)=O,"3.55, 7.98"
C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,"3.2, 7.9"
C[C@H](N)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.11, 7.88"
C[C@H](N)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(O)=O,"3.2, 8.02"
C[C@H](N)C(=O)N[C@H](C)C(O)=O,"3.13, 8.29"
C[C@H](N)C(=O)N[C@@H](C)C(O)=O,"3.27, 8.15"
C[C@H](N)C(=O)NCC(=O)NCC(O)=O,"3.27, 7.89"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NCC(O)=O,"3.46, 8.33"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(O)=O,"3.82, 8.11"
CC(C)(N)C(=O)NC(C)(C)C(O)=O,"3.67, 8.26"
CC(C)(N)C(O)=O,"2.34, 10.1"
CC(C)C[C@@H](N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(O)=O,"3.33, 7.87"
CC(C)(NC(=O)CN)C(=O)NCC(O)=O,"3.33, 8.2"
C[C@H](NC(=O)CNC(=O)CN)C(O)=O,"3.18, 7.9"
C[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CN)C(O)=O,"3.37, 7.86"
C[C@H](NC(=O)OC(C)(C)C)C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,"2.83, 7.19"
C[C@H](N)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,"2.99, 7.95"
C[C@H](NC(=O)[C@@H]1CCCN1)C(O)=O,"3.27, 8.98"
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(O)=O,"3.27, 7.99"
C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1)C(O)=O,"3.1, 8.37"
C[C@H](O)[C@H](N)C(O)=O,"2.11, 8.92"
C[C@](N)(CCC(O)=O)C(O)=O,"4.05, 9.72"
CC(C)C[C@@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"2.9, 8.34, 10.36"
CC(C)(N)[P](O)(O)=O,"0.6, 5.82, 10.3"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(O)=O,"3.25, 4.23, 8.1"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(O)=O,"3.22, 7.96, 9.73"
C[C@H](NC(=O)[C@@H](N)CC(O)=O)C(O)=O,"2.73, 3.61, 7.99"
C[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,"1.2, 4.16, 7.98"
C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,"3.13, 4.08, 7.77"
C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(O)=O)C(O)=O,"3.07, 3.6, 7.69"
C[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.21, 7.9, 10.26"
OC(=O)CN(CC(O)=O)c1ccc(c2cc(cc(O)c12)[S](O)(=O)=O)[S](O)(=O)=O,"2.58, 3.87, 9.48"
OC(=O)CN(CC(O)=O)Cc1ccccn1,"2.68, 2.72, 8.2"
OC(=O)CN(CC(O)=O)c1c(O)cc(c2ccccc12)[S](O)(=O)=O,"2.16, 3.38, 8.85"
OC(=O)CN(CC(O)=O)C1C(=O)NC(=O)NC1=O,"1.9, 2.75, 9.63"
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,"1.9, 3.99, 6.709999999999999"
CN(CCN1CCNCC1)CCN2CCNCC2,"7.38, 8.65, 9.12"
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](Cc2c[nH]cn2)C(O)=O,"2.95, 7.02, 9.78"
NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C2O,"1.0, 4.46, 6.5"
CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(O)=O,"3.46, 7.44, 9.82"
NC(C(O)=O)C(O)=O,"1.8, 2.94, 9.22"
NC(Cc1ccccc1O)C(O)=O,"2.41, 8.67, 11.01"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(O)=O,"3.15, 4.01, 8.05"
C[C@@H](O[P](O)(O)=O)[C@H](N)C(O)=O,"2.25, 5.83, 9.67"
Cc1ncc(CO)c(CN)c1O,"3.38, 8.05, 10.6"
C[C@@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,"2.89, 7.63, 10.52"
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O,"3.05, 7.66, 9.79"
O[P](O)(=O)C1CCCCN1,"2.0, 5.74, 11.31"
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc2ccc(O)cc2)C(O)=O,"3.52, 7.77, 9.59"
O[P](O)(=O)C1(CCC(=O)N1)[P](O)(O)=O,"2.25, 6.75, 10.69"
CC(C)C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O,"3.02, 7.86, 10.38"
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccccc2)C(O)=O,"3.16, 7.36, 10.09"
N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(O)=O,"2.98, 7.25, 9.61"
N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(O)=O,"3.25, 7.23, 9.99"
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=N)C(O)=O,"2.81, 7.62, 9.82"
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc2ccccc2)C(O)=O,"2.86, 7.66, 9.99"
N[C@@H](Cc1ccc(O)cc1)C(O)=O,"2.24, 9.04, 10.1"
OC(=O)c1ccc(C(O)=O)c(c1)C(O)=O,"2.42, 3.71, 5.01"
OC(=O)c1ccccc1N=Nc2cc(c3cccnc3c2O)[S](O)(=O)=O,"3.34, 3.63, 9.02"
OC(=O)c1cccc(C(O)=O)c1C(O)=O,"2.665, 3.9299999999999997, 5.635"
OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O,"3.01, 3.71, 4.49"
N[C@@H](CS)C(=O)NCC(O)=O,"3.15, 6.91, 9.3"
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N4CCC[C@H]4C(=O)NCC(O)=O,"3.36, 7.42, 9.81"
N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(O)=O,"3.22, 7.37, 10.09"
N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(O)=O,"3.14, 7.62, 9.92"
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,"3.09, 7.24, 9.82"
N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(O)=O,"2.94, 4.34, 7.42"
N[C@@H](C(O)CC(O)=O)C(O)=O,"2.09, 4.08, 9.06"
N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)NCC(O)=O,"3.09, 4.2, 7.97"
N[C@@H](CCC(O)=O)C(=O)NCC(O)=O,"2.91, 4.11, 8.04"
N[C@@H](CCC(O)=O)C(O)=O,"2.16, 4.15, 9.58"
N[C@@H](CC(O)=O)C(=O)NCC(O)=O,"2.82, 3.67, 8.03"
N[C@@H](CC(O)=O)C(O)=O,"1.95, 3.71, 9.66"
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(O)=O,"3.14, 7.47, 9.79"
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(O)=O,"3.19, 7.81, 9.91"
NCCC[P](O)(O)=O,"1.6, 6.88, 11.04"
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCC(N)=O)C(O)=O,"4.0, 7.27, 9.85"
CNCCCNCCCN,"7.03, 9.69, 10.68"
NCC(=O)N[C@@H](CS)C(O)=O,"2.73, 8.04, 9.48"
NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(O)=O,"3.36, 7.92, 9.78"
NCCCCNCCCN,"8.4, 9.83, 10.85"
NCC(=O)NCC(=O)N[C@@H](CS)C(O)=O,"3.07, 7.82, 9.48"
NCC(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"3.19, 7.91, 9.75"
NCC(=O)NC(CO[P](O)(O)=O)C(O)=O,"2.91, 6.03, 8.42"
NCCCC[C@H](NC(=O)[C@@H](N)CO)C(O)=O,"2.92, 7.16, 10.49"
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CN)C(=O)N2CCC[C@H]2C(=O)NCC(O)=O,"3.41, 8.12, 10.24"
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CN)C(O)=O,"3.19, 8.03, 9.88"
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@@H](CCC(O)=O)C(O)=O,"2.46, 4.4, 8.53"
NC1(CCCC1)[P](O)(O)=O,"1.0, 5.83, 10.17"
CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"3.23, 7.79, 10.13"
CC(C)C[C@H](NC(=O)CN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"3.14, 8.07, 10.3"
CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(O)=O,"3.28, 4.49, 7.74"
OC(C(CC(O)=O)C(O)=O)C(O)=O,"3.05, 4.3, 5.74"
OC([P](O)(O)=O)[P](O)(O)=O,"2.6, 6.78, 10.26"
NCCCC(C(O)=O)C(O)=O,"2.52, 4.86, 10.45"
CC(C)C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O,"3.39, 7.41, 10.11"
NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"3.02, 8.14, 9.98"
OC(=O)CC(S)C(O)=O,"3.09, 4.57, 10.38"
OC(=O)CC(CC(O)=O)C(O)=O,"3.47, 4.51, 5.85"
OC(=O)CC(O)(CC(O)=O)C(O)=O,"2.9, 4.35, 5.72"
OC(=O)CSCCN(CC(O)=O)CC(O)=O,"2.0, 3.53, 8.82"
OC(=O)CN(CC(O)=O)c1ccccc1C(O)=O,"2.2, 2.99, 7.73"
Cc1cccc(CN(CC(O)=O)CC(O)=O)n1,"2.62, 3.45, 8.31"
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(O)=O,"3.04, 7.54, 10.19"
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C)C(O)=O,"3.18, 7.73, 10.38"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(O)=O,"3.29, 4.22, 8.29"
C[C@H](N)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.22, 3.85, 7.96"
C[C@H](N)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(=O)NCC(O)=O,"3.21, 4.02, 8.33"
C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.18, 4.07, 7.9"
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.42, 7.64, 10.24"
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.47, 7.9, 10.47"
C[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](C)C(O)=O,"3.19, 7.86, 10.25"
C[C@H](N)C(=O)N[C@@H](CS)C(O)=O,"2.89, 7.98, 9.52"
C[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,"3.11, 7.51, 10.59"
C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O,"3.38, 7.51, 9.98"
C[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.19, 7.74, 10.18"
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,"3.17, 4.48, 7.69, 10.09"
N[C@@H](CO[P](O)(O)=O)C(O)=O,"0.7, 2.14, 5.7, 9.8"
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)NCC(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,"2.74, 7.61, 9.75, 10.12"
N[C@@H](Cc1ccc(O)c(N)c1)C(O)=O,"2.0, 4.48, 9.09, 10.19"
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(O)=O,"3.21, 7.33, 9.68, 10.47"
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,"2.08, 3.49, 8.64, 9.51"
NCCCNCCCCNCCCN,"7.91, 8.85, 9.99, 10.82"
OC(CNC(C(O)=O)C(O)=O)CNC(C(O)=O)C(O)=O,"2.41, 3.4, 8.9, 10.4"
NCCCC[C@H](NC(=O)[C@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O,"2.76, 4.2, 7.5, 10.29"
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)CN)C(O)=O,"3.12, 7.98, 10.12, 10.48"
NCCCC[C@H](N)C(=O)N[C@H](CCCCN)C(O)=O,"2.74, 7.42, 9.81, 10.78"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,"3.43, 3.51, 4.67, 8.31"
Cc1ccc(N(CC(O)=O)CC(O)=O)c(c1)N(CC(O)=O)CC(O)=O,"2.85, 3.55, 4.83, 7.029999999999999"
C[C@H](N)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(O)=O,"2.93, 3.5, 4.35, 8.3"
Cc1cc(ccc1N(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,"2.27, 3.07, 4.96, 7.1"
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCC(O)=O)C(O)=O,"2.85, 4.65, 7.85, 10.17"
C(CN(Cc1ccccn1)Cc2ccccn2)N(Cc3ccccn3)Cc4ccccn4,"2.88, 3.3, 4.81, 7.12"
CC(C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,"3.04, 3.89, 7.34, 10.48"
OC(=O)CN(CC(O)=O)c1cccc(c1)N(CC(O)=O)CC(O)=O,"2.0, 2.86, 5.07, 5.8"
NCCCC[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@H](CC(O)=O)C(O)=O,"2.71, 4.12, 7.42, 10.55"
C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,"3.12, 3.26, 4.64, 8.0"
C[C@H](N)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(O)=O,"3.14, 3.47, 4.63, 8.28"
NCCCC[C@@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O,"2.78, 4.07, 7.39, 10.45"
NCCCC[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O,"2.77, 4.2, 7.44, 10.49"
NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O,"2.9, 7.42, 9.94, 10.9"
NCCCC[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCCN)C(O)=O,"2.8, 7.18, 9.68, 10.43, 11.31"
N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,"1.8, 2.04, 3.87, 4.78, 8.13"
CC(C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,"1.9, 3.25, 7.2, 9.75, 10.38"
OC(=O)c1cc(C(O)=O)c(C(O)=O)c(C(O)=O)c1C(O)=O,"1.64, 2.515, 3.6533333333333338, 4.853333333333333, 6.033333333333334"
OC(=O)CNc1cc(C(O)=O)c(cc1C(O)=O)N(CC(O)=O)CC(O)=O,"1.8, 2.67, 3.57, 4.48, 9.4"
NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(O)=O,"2.97, 7.23, 9.69, 10.43, 11.21"
NCCCC[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(O)=O,"2.83, 7.03, 9.49, 10.27, 10.98"
OC(=O)[C@H](CS)NCCN[C@@H](CS)C(O)=O,"1.7, 5.4, 7.91, 9.88, 11.14"
Cc1ccc(O)c(CN2CCN(CCN(CC2)Cc3nc(C)ccc3O)Cc4nc(C)ccc4O)n1,"4.28, 5.35, 7.0, 9.73, 10.86, 12.1"
