smiles,pka_values
CCCCCCSCC(O)=O,3.65
CCCCCN,10.63
CCCCCSCC(O)=O,3.64
CCCCN,10.66
CCCCN1C=CC=C(O)C1=O,9.06
CCCCOC(=O)CN,7.78
Nc1cccc2cccnc12,3.98
Nc1ccccc1[S](O)(=O)=O,2.29
Nc1cccnc1,6.05
Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,3.55
Nc1ncnc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3,3.77
CCc1[nH]ccn1,7.87
CCc1ccc(C)nc1,6.43
CCc1ccncc1,6.06
CN,10.65
CN(C)c1ccc(cc1)[S](O)(=O)=O,3.37
CN(CC(=O)NCC(O)=O)C(=O)CN,8.23
CN1C=CC=C(O)C1=O,8.89
OC(=O)C(=O)Cc1ccccc1,2.33
OC(=O)C1(O)CCCC1,3.97
OC(=O)C1(O)CCCCC1,3.98
OC(=O)C1(O)CCCCCC1,4.03
OC(=O)C1=C(C(=O)NC(=O)N1)[N+]([O-])=O,4.83
CC[C@H]1[C@H](COC1=O)Cc2cncn2C,7.12
OC(=O)C=O,3.05
OC(=O)CBr,2.71
OC(=O)CCBr,3.79
OC(=O)CCI,3.9
OC(=O)CI,2.98
COC(=O)C(N)C(C)C,7.48
COC(=O)C(N)CC(C)C,7.63
COC(=O)C(N)CCSC,7.1
COC(=O)C(N)CO,7.07
NCCCCc1ccccc1,10.42
NCCCO,10.11
NCCCc1ccccc1,10.32
NCCC(=O)NCCC(N)=O,9.21
CNC(=O)[C@@H](N)CC(C)C,7.72
CNC(=O)[C@@H](N)CCSC,7.33
CNC(=O)[C@H](CCSC)NC(=O)[C@@H](N)Cc1ccccc1,7.15
COC(=O)C(C)N,7.76
Nc1ccc(cc1)[S](O)(=O)=O,3.01
Nc1cccc(c1)[S](O)(=O)=O,3.55
N[C@@H](CO)C(N)=O,7.18
NCCO,9.52
NCCc1ccccc1,9.92
NCc1ccc(cc1)C#N,8.61
NCc1ccc(cc1)C(F)(F)F,8.84
NCc1ccccc1,9.4
Nc1ncnc2nc[nH]c12,4.22
O=C1CCNCCNC(=O)CC(=O)NCCN1,8.26
N[C@@H](Cc1ccccc1)C(N)=O,7.26
N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,7.57
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,7.58
N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O,7.72
Nc1ccc(Br)cn1,4.91
COC(=O)CNC(=O)CN,7.78
COC(=O)CS,7.99
COC(=O)C[C@H](N)C([O-])=O,8.5
COC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,7.3
COC(=O)[C@@H](N)Cc1ccccc1,7.03
COC(=O)c1ccc2cccc(O)c2n1,9.14
NCC(=O)N1CCC[C@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCC(O)=O,8.64
COC(=O)CCC(N)C(=O)OC,7.03
COC(=O)CCCN,9.84
COC(=O)CCN,9.17
COC(=O)CN,7.66
COC(=O)CN(C)C(=O)CN,8.01
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,4.09
NC1=NC(=O)NC=C1,4.57
NC1CCCC1,10.63
NC1CCCCC1,10.62
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(O)=O,8.33
NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(O)=O,8.29
NCCC(N)=O,9.2
NCCCCCc1ccccc1,10.55
NCC(=O)NCC(=O)NCC(N)=O,7.75
NCC(=O)NCC(N)=O,7.78
NCC(=O)NCCC(N)=O,7.83
NCC(N)=O,7.98
NCC(O)c1ccccc1,8.79
NCCC(=O)NCC(N)=O,9.14
NC(=O)Cc1ccncc1,5.08
NC(=O)[C@@H]1CCCN1,8.69
NC(=O)c1cccnc1,3.31
NC(CO)(CO)CO,8.1
COc1ccc(N)cc1,5.33
COc1ccc(O)cc1,9.96
NC(=O)CCCc1ccccn1,5.48
NC(=O)CCCc1cccnc1,5.33
NC(=O)CCCc1ccncc1,5.64
NC(=O)CCc1ccccn1,5.09
NC(=O)CCc1cccnc1,5.21
NC(=O)CCc1ccncc1,5.58
NC(=O)Cc1ccccn1,4.34
NC(=O)Cc1cccnc1,4.72
N(c1ccccn1)c2ccccn2,7.03
NC(=O)CCCCc1ccccn1,5.73
NC(=O)CCCCc1cccnc1,5.6
NC(=O)CCCCc1ccncc1,5.92
COCC(O)=O,3.32
COCCN,9.45
CO[P](O)(O)=O,6.25
COc1ccc(CCN)cc1OC,9.87
COc1ccc(CN)cc1,9.56
COc1ccc(N)c(N)c1,5.1
Cn1cnc2ncnc(N)c12,4.13
C[N+](C)(C)CCS,7.88
C[Se]c1cccc2cccnc12,3.15
Cc1[nH]cc(C)n1,8.4
Cn1ccnc1,7.1
Cn1cnc2c(N)ncnc12,3.9
Cc1ccccc1O,10.09
Cc1ccccn1,5.96
Cc1cccnc1,5.72
Cc1ccnc(c1)c2cc(C)ccn2,5.34
Cc1ccnc2c1ccc3c(C)ccnc23,5.95
Cc1ccncc1,6.05
COc1ccc(cc1)C(O)=O,4.26
COc1cccc(C(O)=O)c1OC,3.5
COc1cccc(c1)C(O)=O,3.82
COc1ccccc1C(O)=O,3.87
CSCC(O)=O,3.55
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,9.08
CSc1ccc(cc1)C(O)=O,3.9
CSc1cccc2cccnc12,3.42
Oc1ccc2cc(ccc2c1)[S](O)(=O)=O,8.86
Oc1ccc2ccc(cc2c1)[S](O)(=O)=O,9.0
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(N)=O,7.76
CC(C)(N)C(=O)NC(C)(C)C(N)=O,7.93
CC(C)(N)C(N)=O,8.06
CC(C)(N)CO,9.72
CC(C)(O)C(O)=O,3.79
Oc1ccc(cc1)[N+]([O-])=O,6.96
Oc1ccc(cc1)[S](O)(=O)=O,8.62
Oc1ccc(cc1C=O)[S](O)(=O)=O,6.93
Oc1ccc2cc(cc(c2c1)[S](O)(=O)=O)[S](O)(=O)=O,8.59
Oc1c2ccccc2ccc1[S](O)(=O)=O,9.11
Oc1cc(cc2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,8.06
Oc1cc(cc2ccccc12)[S](O)(=O)=O,8.43
Oc1cc2ccc(cc2cc1[S](O)(=O)=O)[S](O)(=O)=O,9.16
Oc1ccc(Br)cc1,9.08
Oc1ccc(F)cc1,9.46
Oc1ccc(c2ccccc12)[S](O)(=O)=O,8.04
Oc1ccccc1C#N,6.86
Oc1ccccc1F,8.49
Oc1c2ccccc2ccc1[N+]([O-])=O,5.71
[nH]1ccnc1,7.0
[nH]1ccnc1c2ccccn2,5.47
[nH]1cnc(c1)c2ccccn2,5.49
c1cc(ccn1)c2ccncc2,4.67
c1ccc(cc1)c2ccccn2,4.64
c1ccc(cc1)c2cccnc2,4.81
c1ccc(cc1)c2ccncc2,5.38
c1ccc2ncccc2c1,4.97
c1ccncc1,5.24
s1ccc(c1)c2ccccn2,4.67
Brc1cc2cccnc2c3ncccc13,4.09
Oc1cccc2cccnc12,"4.97, 9.65"
CC(=O)Oc1c(cccc1C(O)=O)C(O)=O,"2.85, 3.8"
CC(C(O)=O)C(=O)C(O)=O,"1.7, 4.18"
