Name,smiles,E12,Metal,Reaction,SMILES,solvent
Di-n-butylamine,CCCCNCCCC,0.7499999999999999,None,oxidation,CCCCNCCCC,ACN
Di-sec-butylamine,CCC(C)NC(C)CC,0.7699999999999999,None,oxidation,CCC(C)NC(C)CC,ACN
Trimethylamine,CN(C)C,0.66,None,oxidation,CN(C)C,ACN
Tri-n-propylamine,CCCN(CCC)CCC,0.39,None,oxidation,CCCN(CCC)CCC,ACN
2-(dimethylamino)acetonitrile,CN(C)CC#N,0.96,None,oxidation,CN(C)CC#N,ACN
4-methoxyaniline,COC1=CC=C(C=C1)N,0.1999999999999999,None,oxidation,COC1=CC=C(C=C1)N,ACN
4-chloroaniline,C1=CC(=CC=C1N)Cl,0.5399999999999999,None,oxidation,C1=CC(=CC=C1N)Cl,ACN
"N,N-dimethyl-1-phenylmethanamine",CN(C)CC1=CC=CC=C1,0.61,None,oxidation,CN(C)CC1=CC=CC=C1,ACN
N-methylaniline,CNC1=CC=CC=C1,0.5099999999999999,None,oxidation,CNC1=CC=CC=C1,ACN
"N,N-Dimethyl-4-nitroaniline",CN(C)C1=CC=C(C=C1)[N+](=O)[O-],0.89,None,oxidation,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],ACN
N-ethylaniline,CCNC1=CC=CC=C1,0.5299999999999999,None,oxidation,CCNC1=CC=CC=C1,ACN
"2,3,5,6-tetramethylaniline",CC1=CC(=C(C(=C1C)N)C)C,0.28,None,oxidation,CC1=CC(=C(C(=C1C)N)C)C,ACN
"1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine",CN(C)C1=CC=C(C=C1)N(C)C,-0.22,None,reduction,CN(C)C1=CC=C(C=C1)N(C)C,ACN
"1-N,1-N,3-N,3-N-tetramethylbenzene-1,3-diamine",CN(C)C1=CC(=CC=C1)N(C)C,0.1999999999999999,None,oxidation,CN(C)C1=CC(=CC=C1)N(C)C,ACN
"1-N,1-N,2-N,2-N-tetramethylbenzene-1,2-diamine",CN(C)C1=CC=CC=C1N(C)C,0.16,None,oxidation,CN(C)C1=CC=CC=C1N(C)C,ACN
"3-methoxy-N,N-dimethylaniline",CN(C)C1=CC(=CC=C1)OC,0.37,None,oxidation,CN(C)C1=CC(=CC=C1)OC,ACN
"4-methoxy-N,N-dimethylaniline",CN(C)C1=CC=C(C=C1)OC,0.2099999999999999,None,oxidation,CN(C)C1=CC=C(C=C1)OC,ACN
"2-methoxy-N,N-dimethylaniline",CN(C)C1=CC=CC=C1OC,0.36,None,oxidation,CN(C)C1=CC=CC=C1OC,ACN
"2,3,5,6-tetramethylbenzene-1,4-diamine",CC1=C(C(=C(C(=C1N)C)C)N)C,-0.3,None,reduction,CC1=C(C(=C(C(=C1N)C)C)N)C,ACN
naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,0.2199999999999999,None,oxidation,C1=CC=C2C(=C1)C=CC=C2N,ACN
naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,0.3199999999999999,None,oxidation,C1=CC=C2C=C(C=CC2=C1)N,ACN
"1,4-diazabicyclo[2.2.2]octane",C1CN2CCN1CC2,0.18,None,oxidation,C1CN2CCN1CC2,ACN
"N,N-dimethyl-1-phenylethenamine",CN(C)C(=C)C1=CC=CC=C1,0.3099999999999999,None,oxidation,CN(C)C(=C)C1=CC=CC=C1,ACN
CH3OH,CO,2.79,None,oxidation,CO,ACN
ethanol,CCO,2.5700000000000003,None,oxidation,CCO,ACN
propan-2-ol,CC(C)O,2.56,None,oxidation,CC(C)O,ACN
butan-1-ol,CCCCO,2.62,None,oxidation,CCCCO,ACN
butan-2-ol,CCC(C)O,2.6100000000000003,None,oxidation,CCC(C)O,ACN
pentan-1-ol,CCCCCO,2.52,None,oxidation,CCCCCO,ACN
CH2OH,[CH2]O,1.5100000000000002,None,oxidation,[CH2]O,ACN
"1,2,3-trimethoxybenzene",COC1=C(C(=CC=C1)OC)OC,1.0299999999999998,None,oxidation,COC1=C(C(=CC=C1)OC)OC,ACN
"1,2,4-trimethoxybenzene",COC1=CC(=C(C=C1)OC)OC,0.7300000000000001,None,oxidation,COC1=CC(=C(C=C1)OC)OC,ACN
"1,3,5-trimethoxybenzene",COC1=CC(=CC(=C1)OC)OC,1.1,None,oxidation,COC1=CC(=CC(=C1)OC)OC,ACN
